Date,Year,Month,Day,Weekday,Event
1855-03-20,1855,3,20,Tuesday,"Writes to Chapman to offer her sympathy over his serious lung disease."
1855-03-25,1855,3,25,Sunday,"Invited by Chapman to undertake the 'Belles Lettres' section of the Westminster. Celebrates with a walk over the hills."
1855-04-04,1855,4,4,Wednesday,"Writes to Charles Bray to discuss her financial affairs."
1855-04-09,1855,4,9,Monday,"'Painful letter [presumed to be about Lewes's separation agreement with his wife, Agnes] which upset me for work' (Journals 56). "
1855-04-10,1855,4,10,Tuesday,"'Walked feeling much depression against which I struggled hard' (Journals 56). "
1855-04-18,1855,4,18,Wednesday,"Arrives in London to live with GHL. Move into temporary lodgings at 8 Victoria Grove Terrace, Bayswater."
1855-04-23,1855,4,23,Monday,"Decide on 7 Clarence Row, East Sheen, Surrey, as a permanent residence."
1855-04-25,1855,4,25,Wednesday,"Visits the British Museum."
1855-04-26,1855,4,26,Thursday,"Chapman visits GE to invite GHL to write on teetotalism for the Westminster. GE accepts on his behalf."
1855-04-28,1855,4,28,Saturday,"Completes article 'Three Months in Weimar' for Fraser's Magazine. Visited by Rufa Hennell."
1855-04-29,1855,4,29,Sunday,"Writes to Chapman discussing future articles on Kingsley and Dr Cumming."
1855-04-30,1855,4,30,Monday,"Visited by Bessie Parkes."
1855-05-02,1855,5,2,Wednesday,"Move to 7 Clarence Row, East Sheen. GE arranges to have correspondence forwarded in GHL's name. They at first attract few visitors."
1855-05-07,1855,5,7,Monday,"Requests Charles Bray to lend his volumes of Scott for an article for Fraser's Magazine. (The article never appeared.)"
1855-05-09,1855,5,9,Wednesday,"Completes article on Kingsley's Westward Ho!"
1855-05-12,1855,5,12,Saturday,"Describes her article 'Three Months in Weimar' to Charles Bray."
1855-05-19,1855,5,19,Saturday,"Article on Westward Ho! appears in the Leader."
1855-06-09,1855,6,9,Saturday," 'Sent article on Liszt, Wagner and Weimar to Fraser'; Tuesday, June 12, 'Sent article on Menander for the Leader' (Journals 56) (Three Months in Weimar published both in Fraser's and in the Leader, June 1855)."
1855-06-13,1855,6,13,Wednesday,"Mention of book II of the Iliad is representative of a course of reading in Greek undertaken in this and the following two years. For details of other reading this month see Cross 1: 382."
1855-06-16,1855,6,16,Saturday,"Supplement to the Leader includes GE's 'Menander and the Greek Comedy' and GHL's 'The Memoirs of Sydney Smith'."
1855-06-17,1855,6,17,Sunday,"Writes to Charles Bray, 'we like East Sheen better and better and are happier every day, walking hard, reading Homer and science and rearing tadpoles' (Letters 2: 202)."
1855-06-24,1855,6,24,Sunday,"Chapman comes to dinner, bringing his article 'The Position of Woman' (Journals 57)."
1855-06-25,1855,6,25,Monday,"Writes to Chapman offering a detailed critique of his article."
1855-06-27,1855,6,27,Wednesday,"Reassures Chapman of the article's worth."
1855-07-07,1855,7,7,Saturday,"'Lord Brougham's Literature' appears in the Leader."
1855-07-09,1855,7,9,Monday,"Finished Articles on Wilhelm Meister and on Gruppe for the Leader."
1855-07-10,1855,7,10,Tuesday,"Charles Bray visits and enters into a heated argument on phrenology."
1855-07-16,1855,7,16,Monday,"Writes to Charles Bray defending GHL's article on J. S. Buckingham in the Leader."
1855-07-21,1855,7,21,Saturday,"'The Morality of Wilhelm Meister' appears in the Leader. Reading Keightley's Life of Milton prior to reviewing it for the Leader."
1855-07-22,1855,7,22,Sunday,"GHL ill with toothache. GE reads to him from Scott."
1855-07-28,1855,7,28,Saturday,"'The Future of German Philosophy' appears in the Leader."
1855-08-04,1855,8,4,Saturday,"Review of Keightley's Life of Milton (largely concerned with Milton's view of divorce) appears in the Leader, three days after it was completed (on Aug 1).  "
1855-08-07,1855,8,7,Tuesday,"Carlyle reads proof of GHL's Goethe."
1855-08-22,1855,8,22,Wednesday,"Completes an article on Sain Marc Giardin for the Leader."
1855-08-24,1855,8,24,Friday,"Completes article on Cumming for the Westminster Review."
1855-08-25,1855,8,25,Saturday,"'Love in the Drama' published in the Leader. "
1855-08-30,1855,8,30,Thursday,"Completes article on Hein for the Leader."
1855-09-01,1855,9,1,Saturday,"'Heine's poems' appears in the Leader."
1855-09-04,1855,9,4,Tuesday,"Sends Cara Bray an earnest and lengthy defence of her relationship with GHL: 'If there is any one action or relation of my life which is and always has been profoundly serious, it is my relation to Mr Lewes' (Letters 2: 213; Cross 1: 327). Correspondence between the pair subsequently resumed."
1855-09-15,1855,9,15,Saturday,"'Michelet on the Reformation' published in the Leader."
1855-09-19,1855,9,19,Wednesday,"Leave for two weeks in Worthing, Sussex, with lodgings at 21 Steyne. "
1855-09-22,1855,9,22,Saturday,"'German Mythology and Legend' appears in the Leader."
1855-09-23,1855,9,23,Sunday,"'Long walk on the beach; but not a mollusc to be seen' (Journals 57). Note: this is the first mention of sea-creatures, many months before the May 1856 Ilfracombe science trip. "
1855-10-03,1855,10,3,Wednesday,"Move to 8 Park Shot, Richmond, Surrey."
1855-10-09,1855,10,9,Tuesday,"Finishes article on Margaret Fuller and Mary Wollstonecraft."
1855-10-13,1855,10,13,Saturday,"“Margaret Fuller and Mary Wollstonecraft” published in the Leader."
1855-10-12,1855,10,12,Friday,"Finishes article on Carlyle for the Leader."
1855-10-15,1855,10,15,Monday,"Working on the 'Belles Lettres' section of the Westminster, including Browning's Men and Women, Longfellow's Hiawatha and Thoreau's Walden. Receives two letters from Princess Wittgenstein."
1855-10-16,1855,10,16,Tuesday,"Reading Gall's Anatomie et physiologie du cerveau, and Carpenter's Comparative Physiology."
1855-10-20,1855,10,20,Saturday,"'Translations and Translators' published in the Leader."
1855-10-27,1855,10,27,Saturday,"'Thomas Carlyle' appears in the Leader."
1855-10-30,1855,10,30,Tuesday,"Publication of GHL's Life of Goethe."
1855-11-03,1855,11,3,Saturday,"GE's review of GHL's Life of Goethe appears in the Leader."
1855-11-14,1855,11,14,Wednesday,"Affected by a severe cold."
1855-11-21,1855,11,21,Wednesday,"Sufficiently recovered to leave the house for the first time in two weeks."
1855-11-28,1855,11,28,Wednesday,"Completes 'German Wit: Heinrich Heine' for the Westminster (Journals 58)."
1855-12-12,1855,12,12,Wednesday,"Finishes and sends off article on Belles Lettres (Journals 58)"
1855-12-15,1855,12,15,Saturday,"Forwards letter sent to her from Herbert Spencer to Sara Hennell."
1855-12-24,1855,12,24,Monday,"Travels to Attleborough to spend Christmas with Chrissey. GHL spends Christmas at the home of Arthur Helps. (Cross 1: 224)"
1855-12-29,1855,12,29,Saturday,"Returns to Richmond."
1855-12-31,1855,12,31,Monday,"Finishes review of Meredith's Shaving of Shagpat for the Leader."
1856-01-01,1856,1,1,Tuesday,"'German Wit: Heinrich Heine' appears in the Westminster, along with her 'Belles Lettres' section."
1856-01-01,1856,1,1,Tuesday,"Sends New Year greetings to Charles Bray. Continues to work on reviews of books by Meredith and Julia Kavanagh and a translation of von Bohlen' s Introduction to the Book of Genesis."
1856-01-05,1856,1,5,Saturday,"Reviews of The Shaving of Shagpat (highly favourable) and of Julia Kavanagh's Rachel Gray appear in the Leader."
1856-01-12,1856,1,12,Saturday,"'Introduction to Genesis' appears in the Leader."
1856-01-16,1856,1,16,Wednesday,"Barbara Smith sends GE a petition in favour of rights of women to their earnings (Journals 58). Records the sale of 1000 copies of GHL's Goethe."
1856-01-28,1856,1,28,Monday,"Gives qualified praise to the proposed legal reforms for women as helping to raise their position and character."
1856-02-09,1856,2,9,Saturday,"'History of German Protestantism' appears in the Leader."
1856-02-19,1856,2,19,Tuesday,"Completes her translation of Spinoza's Ethics - never published, owing to GHL's dispute with the publisher. Declares herself in happy ignorance of the Spectator's views on emancipation. Reading the third volume of Ruskin's Modern Painters and Thomas Rymer Jones's General Outline of the Animal Kingdom."
1856-02-23,1856,2,23,Saturday,"GHL's damning review of Alison's History of Europe appears in the Saturday Review."
1856-02-25,1856,2,25,Monday,"Tells Sara Hennell of her sympathy for Harriet Martineau's heart condition."
1856-02-26,1856,2,26,Tuesday,"Reminds Sara Hennell of the importance of being called 'Mrs Lewes' by visitors."
1856-03-01,1856,3,1,Saturday,"'The Poets and Poetry of America' appears in the Leader."
1856-03-09,1856,3,9,Sunday,"GHL asks Spencer to refer to GE as Mrs Lewes."
1856-03-21,1856,3,21,Friday,"Finishes article on Torso for the Saturday Review"
1856-03-26,1856,3,26,Wednesday,"Tells Charles Bray that her 'pen is not of the true literary order which will run along without the help of brains' (Cross 1: 393)."
1856-03-29,1856,3,29,Saturday,"'The Antigone and its Moral' appears in the Leader."
1856-03-31,1856,3,31,Monday," Tells Charles Bray of plans to take GHL' s sons to Germany for the summer. (Letters 2: 234). Congratulates Bessie Parkes on her children's story The History of our Cat Aspasia (Letters 2: 235)."
1856-04-01,1856,4,1,Tuesday,"Contributes 'Art' and 'Belles Lettres' sections to the Westminster: Modern Painters, Ruskin v. III review; ; also in this column, reviews Walt Whitman's Leaves of Grass, the first positive review of the work in Britain."
1856-04-01,1856,4,1,Tuesday,"Asks Charles Bray if John Sibree would consider tutoring GHL's sons. 'A delicious day! We are going to have a holiday at the Zoological Gardens' (1, 395)."
1856-04-05,1856,4,5,Saturday,"Chapman accepts GE's idea for an article on Young. 'Church History of the Nineteenth Century' appears in the Leader."
1856-04-06,1856,4,6,Sunday,"Resolve to send GHL's sons to school in Switzerland. 'Keeping Sabbath in Mr Bray's fashion - enjoying the sunshine and reading the newspapers' (Letters 2: 237). Cross remarks, 'The next few weeks are, perhaps, the most signally important and interesting of all in George Eliot's development. There are unmistakable signs of the rising of the sap of creative production' (Cross 1: 395-6)."
1856-04-12,1856,4,12,Saturday,"'The Court of Austria' published in the Leader."
1856-04-15,1856,4,15,Tuesday,"Visited for the day by Herbert Spencer."
1856-04-19,1856,4,19,Saturday,"'Who Wrote the Waverley Novels?' published in the Leader."
1856-04-22,1856,4,22,Tuesday,"Commences 'Worldliness and Other-Worldliness: The Poet Young'."
1856-04-26,1856,4,26,Saturday,"'Heine' s Book of Songs' appears in the Saturday Review, and 'Story of a Blue-Bottle' in the Leader."
1856-04-29,1856,4,29,Tuesday,"Begins reading Riehl's Land und Volk."
1856-05-08,1856,5,8,Thursday,"Set out for Ilfracombe, Devon, via Bristol, staying at Exeter overnight."
1856-05-09,1856,5,9,Friday,"Visit Exeter Cathedral. Take lodgings at Runnymede Villa, Ilfracombe. For GE's recollections of this holiday, see Cross I: 396-406 and Journals, 359-273 . Idea of 'Barton' conceived on this trip: 'One morning as I was thinking what should be the subject of my first story, my thoughts merged themselves into a dreamy doze, and I imagined myself writing a story, of which the title was 'The Sad Fortunes of the Reverend Amos Barton' (Cross 1: 415). GE and GHL undertake many maritime zoology explorations, since GHL involved with preparation for his Sea-Side Studies."
1856-05-17,1856,5,17,Saturday,"'Pictures of Life in French Novels' appears in the Saturday Review, and 'Margaret Fuller's Letters from Italy' in the Leader."
1856-05-31,1856,5,31,Saturday,"'The Art and Artists of Greece' appears in the Saturday Review."
1856-06-05,1856,6,5,Thursday,"Finishes and sends off article on Riehl, 'The Natural History of German Life.'"
1856-06-06,1856,6,6,Friday,"Tells Charles Bray, 'between work and zoology and bodily ailments my time has been full to overflowing' (Letters 2, 252; Cross 1: 406)."
1856-06-07,1856,6,7,Saturday,"“Transatlantic Latter-Day Poetry,”including a second notice of Walt Whitman’s Leaves of Grass, appears in the Leader. "
1856-06-07,1856,6,7,Saturday,"Bohn expresses to GHL his doubts about publishing GE' s translation of Spinoza's Ethics."
1856-06-13,1856,6,13,Friday,"Tells Barbara Smith that she considers Ruskin the finest writer living."
1856-06-26,1856,6,26,Thursday,"Take the steamer for Swansea in South Wales, continuing by rail to Tenby."
1856-06-29,1856,6,29,Sunday,"Writes to Sara Hennell with reminiscences of their visit to Tenby 12 years previously."
1856-07-05,1856,7,5,Saturday,"Sends Chapman her favourable comments on the latest issue of the Westminster."
1856-07-12,1856,7,12,Saturday,"Joined at Tenby for five days by Barbara Smith."
1856-07-19,1856,7,19,Saturday,"'A Tragic Story' appears in the Leader. Discusses an idea for an article on 'Silly Women's Novels' with GHL, intending it to be an article of wholesome truth as well as some humour."
1856-07-20,1856,7,20,Sunday,"Repeats the 'Silly Women's Novels' idea to Chapman (Letters 2: 258). Records in Journal, 'I have done no visible work. But I have absorbed many ideas and much bodily strength; indeed I do not remember ever feeling so strong in mind and body as I feel at this moment' (Cross 1: 411)."
1856-07-28,1856,7,28,Monday,"Joined at Tenby by Edward Pigott."
1856-08-02,1856,8,2,Saturday,"'The Lover's Seat' appears in the Leader."
1856-08-06,1856,8,6,Wednesday,"Tells Charles Bray, 'I never think what I write is good for anything till other people tell me so' (Letters 2: 260; Cross 1: 412)."
1856-08-08,1856,8,8,Friday,"Leave Tenby, spending the night at Bath."
1856-08-09,1856,8,9,Saturday,"Return to Richmond after 3 months of traveling. 'Enjoyed the sense of being at home again' (Journals 63)"
1856-08-16,1856,8,16,Saturday,"'Ferny Combes' published in the Leader."
1856-08-23,1856,8,23,Saturday,"'Recollections of Heine' appears in the Leader."
1856-08-25,1856,8,25,Monday,"GHL leaves for Hofwyl, in Switzerland, with his sons Charles and Thornton."
1856-08-30,1856,8,30,Saturday,"'Felice Orsini' appears in the Leader. GE 'chloroformed twice, and at last ... the tooth was got out' (Letters 2: 261)."
1856-09-04,1856,9,4,Thursday,"GHL returns from Hofwyl."
1856-09-05,1856,9,5,Friday,"Remarks to Sara Hennell how revealing writing may be: 'We mortals have such a knack of shutting up our best selves quite away from each other' (Letters 2: 263)."
1856-09-06,1856,9,6,Saturday,"'Sight-seeing in Germany and the Tyrol' appears in the Saturday Review."
1856-09-12,1856,9,12,Friday,"Despatches [sic] 'Silly Novels by Lady Novelists' to Chapman."
1856-09-22,1856,9,22,Monday,"Reading Sophocles's Ajax."
1856-09-23,1856,9,23,Tuesday,"Commences writing 'Barton,' which she is already hoping 'to make one of a series called Scenes of Clerical Life' (Journals 63) ."
1856-10-09,1856,10,9,Thursday,"Offers Sara Hennell her criticisms of the latter's Christianity and Infidelity."
1856-10-18,1856,10,18,Saturday,"Congratulates Sara Hennell on her revision of Christianity and Infidelity."
1856-11-05,1856,11,5,Wednesday,"Offers GHL's criticisms of Christianity and Infidelity to Sara Hennell. Finishes writing 'Barton'."
1856-11-06,1856,11,6,Thursday,"GHL sends Blackwood the manuscript of 'Barton', proposing a series of clerical tales."
1856-11-08,1856,11,8,Saturday,"Discusses the meaning of 'Islam', and natural theology, in letter to Sara Hennell."
1856-11-12,1856,11,12,Wednesday,"Blackwood tells GHL, 'I am happy to say that I think your friend's reminiscences of Clerical Life will do. . .. If the author is a new writer, I beg to congratulate him on being worthy of the honours of print and pay' (Letters 2: 272; Cross 1: 419-20)."
1856-11-15,1856,11,15,Saturday,"GHL tells Blackwood that his 'clerical friend' is 'somewhat discouraged' by Blackwood's previous letter, but will continue the sketches when other work allows (Letters 2: 273-74; Cross 1: 421)."
1856-11-18,1856,11,18,Tuesday,"Blackwood assures GHL of his admiration for 'Barton' and offers to 'publish it without seeing more' (Letters 1: 422). Barbara Smith (with Bessie Rayner Parkes) visit, Smith about to leave for Algiers (Journals 64)"
1856-11-22,1856,11,22,Saturday,"GHL tells Blackwood of the restored confidence of his unusually sensitive friend, who would like to see 'Barton' published in January 1857 as the first of the 'Scenes of Clerical Life.'"
1856-11-24,1856,11,24,Monday,"Writes to Sara Hennell of the difficulty of repenting past errors, and warmly recommending E. B. Browning's Aurora Leigh."
1856-12-04,1856,12,4,Thursday,"'Worldliness and Other-Worldliness: The Poet Young' sent to Chapman."
1856-12-09,1856,12,9,Tuesday,"Sends Sara Hennell copies of letters by Varnhagen and Ary Scheffer."
1856-12-16,1856,12,16,Tuesday,"GHL deflects a challenge from Thornton Leigh Hunt, father of four children by Agnes, GHL's wife (Haight's contention, per Thomas Carlyle's comments)."
1856-12-17,1856,12,17,Wednesday,"Sends an autograph of Arthur Helps to Sara Hennell and looks forward to having a week of quiet solitude."
1856-12-18,1856,12,18,Thursday,"GHL sends a paper on anemones to Blackwood and receives the proofs of 'Barton'."
1856-12-24,1856,12,24,Wednesday,"GHL travels to Vernon Hill, Hampshire, to spend Christmas with Arthur Helps (a traditional visit)."
1856-12-25,1856,12,25,Thursday,"GE alone for Christmas again. Commences 'Mr Gilfil' s Love Story'."
1856-12-29,1856,12,29,Monday,"Blackwood sends GHL the January Blackwood's containing 'Barton': 'It is a long time since I have read anything so fresh, so humorous, and so touching' (Cross 1: 425). Also encloses a cheque for 50 guineas."
1857-01-01,1857,1,1,Thursday,"First instalment of 'Barton' appears in Blackwood's."
1857-01-02,1857,1,2,Friday,"Sends Sara Hennell New Year's greetings and suggests Groombridge as a publisher for her work."
1857-01-04,1857,1,4,Sunday,"Writes to Blackwood as the author of 'Barton' expressing her appreciation of his efforts."
1857-01-08,1857,1,8,Thursday,"GHL returns to Richmond."
1857-01-15,1857,1,15,Thursday,"Chapman offers GE a more generous rate of pay for her articles."
1857-01-17,1857,1,17,Saturday,"Finishes ch. 2 of 'Gilfil'."
1857-01-18,1857,1,18,Sunday,"Herbert Spencer to dinner."
1857-01-26,1857,1,26,Monday,"Writes to Sara Hennell offering to make an exception by reviewing her Christianity and Infidelity for the Leader, or offering GHL as an alternative reviewer."
1857-01-30,1857,1,30,Friday,"Blackwood sends GE ('My dear Amos') a copy of the February Blackwood's, containing the conclusion of 'Barton'. Blackwood notes Thackeray' s approval. "
1857-02-04,1857,2,4,Wednesday,"Adopts the pseudonym George Eliot in a letter to Major William Blackwood. Cross remarks, 'I may mention here that my wife told me the reason she fixed on this name was that George was Mr Lewes's Christian name, and Eliot was a good mouth-filling, easily-pronounced word' (Cross 1: 431)."
1857-02-10,1857,2,10,Tuesday,"Blackwood tells GE of 'Barton's' public acclaim."
1857-02-11,1857,2,11,Wednesday,"GHL sends Blackwood the first instalment of 'Gilfil'."
1857-02-13,1857,2,13,Friday,"Blackwood tells GHL that he has read the first instalment of 'Gilfil' with delight."
1857-02-14,1857,2,14,Saturday,"Reading Oedipus Rex, part of a continuing course of study of Greek drama."
1857-02-16,1857,2,16,Monday,"Blackwood sends GE proofs of the first instalment of 'Gilfil', suggesting modifications in Caterina's character."
1857-02-18,1857,2,18,Wednesday,"Thanks Blackwood for his suggestions, but remarks, 'I am unable to alter anything in relation to the delineation or development of character, as my stories always grow out of my psychological conception of the dramatis personae' (Letters  2: 299; Cross 1: 431)."
1857-02-23,1857,2,23,Monday,"Blackwood confides to GHL his suspicion that 'Gilfil' will be even more popular than 'Barton'."
1857-02-24,1857,2,24,Tuesday,"Sends Blackwood the second instalment of 'Gilfil', informing him that the story has grown longer than she expected."
1857-02-27,1857,2,27,Friday,"Blackwood sends a cheque for £21 for the first instalment of 'Gilfil' together with the proofs of the second instalment."
1857-02-28,1857,2,28,Saturday,"Finishes third instalment of 'Gilfil' and receives check from Blackwood for Part I. GHL' s review of Sara Hennell's Christianity and Infidelity appears in the Leader."
1857-03-01,1857,3,1,Sunday,"First instalment of 'Gilfil' appears in Blackwood's. Sends Blackwood the proofs of second instalment and manuscript of third instalment."
1857-03-02,1857,3,2,Monday,"Sends Sara Hennell her full appraisal of Christianity and Infidelity."
1857-03-07,1857,3,7,Saturday,"GHL writes to Blackwood to confirm the financial arrangements for second and third instalments of 'Gilfil'."
1857-03-11,1857,3,11,Wednesday,"Blackwood expresses his delight with the proof of the third instalment of 'Gilfil', though querying the necessity of Caterina's dagger ."
1857-03-14,1857,3,14,Saturday,"Writes to Blackwood refusing to let Caterina only dream of taking the dagger, and insisting on maintaining her pseudonym."
1857-03-15,1857,3,15,Sunday,"Set out for the Scilly Isles and Jersey (until late July) to continue research for GHL's Seaside Studies. Reading on this holiday includes most of Austen, and novels by Gaskell, Charlotte Brontë and Hawthorne. (For general recollections of the trip see Cross 1: 436-9 and 444-8 and Journals 274-82)"
1857-03-27,1857,3,27,Friday,"GHL tells Blackwood that the Scillys are enchanting, and should be conducive to good writing."
1857-04-05,1857,4,5,Sunday,"Tells Sara Hennell of the zoological pleasures of the Scillys, also lamenting the recent death of her niece Frances."
1857-04-08,1857,4,8,Wednesday,"Finishes 'Gilfil'."
1857-04-09,1857,4,9,Thursday,"Begins reading Gaskell' s Life of Charlotte Brontë."
1857-04-15,1857,4,15,Wednesday,"Tells Gaskell of her pleasure in reading this biography."
1857-04-16,1857,4,16,Thursday,"Informs Sara Hennell of her delight in reading Oedipus at Colonnus and Gaskell's Life of Charlotte Brontë. GHL despatches [sic] the last instalment of 'Gilfil' to Blackwood."
1857-04-18,1857,4,18,Saturday,"Begins writing 'Janet's Repentance'."
1857-04-20,1857,4,20,Monday,"GHL sends Blackwood his article 'The Scilly Isles' for inclusion in Blackwood's."
1857-04-28,1857,4,28,Tuesday,"Blackwood informs GHL of the rumour that Scenes of Clerical Life is the work of E. G. Bulwer Lytton."
1857-04-30,1857,4,30,Thursday,"Blackwood dispatches proofs of the conclusion of 'Gilfil'."
1857-05-01,1857,5,1,Friday,"Tells Blackwood of her dissatisfaction with the ending of 'Barton'."
1857-05-02,1857,5,2,Saturday,"Relieved to get letters telling her that her sister Chrissy and daughter Katie are well, after a month of worrying about their health following the loss of Chrissy's other daughter, Fanny. "
1857-05-10,1857,5,10,Sunday,"Returns final proofs of 'Gilfil' together with an epilogue."
1857-05-11,1857,5,11,Monday,"Leave the Scillys for Jersey."
1857-05-16,1857,5,16,Saturday,"Take lodgings at Rosa Cottage, Gorey."
1857-05-26,1857,5,26,Tuesday,"Writes Isaac, 'I have changed my name, and have someone to take care of me in the world' (Letters 2: 331)."
1857-05-27,1857,5,27,Wednesday,"Congratulates Chapman on his medical degree, also telling him that she is now Mrs Lewes to all her family."
1857-06-02,1857,6,2,Tuesday,"Sends Blackwood first instalment of 'Janet's Repentance'."
1857-06-05,1857,6,5,Friday,"Writes to Sara Hennell defending her relationship with GHL and emphasising the need for a truthful account of her situation."
1857-06-06,1857,6,6,Saturday,"Describes her life to Mary Cash (neé Sibree) as 'a preparation for some special work that I may do before I die' (Letters 2: 343; Cross 1: 456)."
1857-06-08,1857,6,8,Monday,"Blackwood sends - with qualified approval - proof of chs 1-4 of 'Janet's Repentance'."
1857-06-09,1857,6,9,Tuesday,"Vincent Holbeche, family solicitor, sends an enquiry about GE's marriage on behalf of the offended Isaac."
1857-06-11,1857,6,11,Thursday,"Writes to Blackwood defending the drama of 'Janet's Repentance' as the clash 'between irreligion and religion' and refusing to make any alterations of substance: 'as an artist I should be utterly powerless if I departed from my own conceptions of life and character' (Letters 2: 347-48; Cross 1: 458-59)."
1857-06-13,1857,6,13,Saturday,"Acknowledges to Holbeche that her marriage is not legal, precipitating ostracism by her family."
1857-06-14,1857,6,14,Sunday,"GHL writes to Blackwood expressing his amazement at the latter's criticisms of 'Janet's Repentance'."
1857-06-16,1857,6,16,Tuesday,"Assures Blackwood that her characters will become clear as the story proceeds."
1857-06-23,1857,6,23,Tuesday,"Finishes reading aloud to GHL Charlotte Brontë's The Professor."
1857-06-26,1857,6,26,Friday,"Reads Samuel Smiles' s Life of George Stephenson aloud to GHL."
1857-06-30,1857,6,30,Tuesday,"Blackwood congratulates GE on the appearance of 'Janet's Repentance' but again expresses reservations about the harshness of some of the characterisation."
1857-07-01,1857,7,1,Wednesday,"First instalment of 'Janet's Repentance' appears in Blackwood's."
1857-07-04,1857,7,4,Saturday,"The reviewer of 'Janet's Repentance' in the Manx Sun attributes the work to 'Mr Liggins'."
1857-07-07,1857,7,7,Tuesday,"Blackwood sends proofs of second instalment of 'Janet's Repentance' with slight reservations."
1857-07-12,1857,7,12,Sunday,"GE returns proofs. GHL requests Blackwood to refrain from criticising GE's work unless absolutely necessary."
1857-07-14,1857,7,14,Tuesday,"Tells Sara Hennell that she expects to have forfeited the correspondence of her brother by her relationship with Lewes."
1857-07-19,1857,7,19,Sunday,"Sends Bessie Parkes good wishes on becoming editor of the Waverley Journal. GHL writes satirically to Blackwood concerning the attribution of Scenes to Liggins."
1857-07-24,1857,7,24,Friday,"Leave Jersey for London."
1857-07-27,1857,7,27,Monday,"See Donizetti's Lucrezia Borgia."
1857-07-31,1857,7,31,Friday,"Visited by Sara Hennell."
1857-08-01,1857,8,1,Saturday,"Second instalment of 'Janet's Repentance' appears in Blackwood's."
1857-08-02,1857,8,2,Sunday,"GHL sends Blackwood the third instalment of 'Janet's Repentance.'"
1857-08-04,1857,8,4,Tuesday,"Entertain Barbara Bodichon (neé Smith) and her new husband to dinner."
1857-08-12,1857,8,12,Wednesday,"Blackwood sends proofs of third instalment of 'Janet's Repentance' with unqualified praise. GE begins reading Aeschylus's Agamemnon, having completed Sophocles's Electra."
1857-08-15,1857,8,15,Saturday,"Blackwood forwards a letter from the Revd W. P. Jones, claiming that 'Janet's Repentance' refers to his brother, who died 23 years previously."
1857-08-18,1857,8,18,Tuesday,"Assures Blackwood that 'Mr Tryan is not a portrait of any clergyman, living or dead' (Letters 2: 375; Cross 1: 462)."
1857-08-19,1857,8,19,Wednesday,"Tells Sara Hennell, 'writing is part of my religion, and I can write no word that is not prompted from within' (Letters 2: 377; Cross 1: 464)."
1857-08-24,1857,8,24,Monday,"GHL leaves to visit his sons at Hofwyl."
1857-09-01,1857,9,1,Tuesday,"Expresses to Bessie Parkes her approval of the contents of the Waverley Journal."
1857-09-03,1857,9,3,Thursday,"GHL returns from Hofwyl."
1857-09-04,1857,9,4,Friday,"GHL sends Blackwood the fourth instalment of  GE's 'Janet's Repentance'."
1857-09-05,1857,9,5,Saturday,"Sends Blackwood her preliminary ideas for Adam Bede: 'I am inclined to take a large canvas for it, and write a novel' (Letters 2: 381; Cross 1: 464)."
1857-09-23,1857,9,23,Wednesday,"Visits Bessie Parkes at the offices of the Waverley Journal, who introduces her friend as 'Miss Evans'."
1857-09-24,1857,9,24,Thursday,"Asks Bessie Parkes to refer to her as 'Mrs Lewes.'"
1857-09-27,1857,9,27,Sunday,"Requests Chapman to send the books necessary for an article on F. W. Newman. Suggests W. M. W. Call to Chapman as a contributor."
1857-10-09,1857,10,9,Friday,"Finishes 'Janet's Repentance.'"
1857-10-10,1857,10,10,Saturday,"GHL despatches the fifth and last instalment of 'Janet's Repentance' to Blackwood."
1857-10-11,1857,10,11,Sunday,"Blackwood sends the final proof of 'Janet's Repentance' with a copy of each of the Scenes to revise for the book reprint."
1857-10-17,1857,10,17,Saturday,"Sends Blackwood a title page for the Scenes and proposals for Bede: 'My new story haunts me a good deal, and I shall set about it without delay. It will be a country story - full of the breath of cows and the scent of hay' (Cross 1: 465-6)."
1857-10-21,1857,10,21,Wednesday,"Recommends Monteil's Histoire des Franfais des divers etats to Sara Hennell as 'one of the most wonderful books in French or any other literature' (Cross 1: 465)."
1857-10-22,1857,10,22,Thursday,"Begins writing Adam Bede."
1857-10-25,1857,10,25,Sunday,"Reading Sophocles's Philoctetes."
1857-10-28,1857,10,28,Wednesday,"Blackwood finalises the publishing and copyright arrangements for Scenes of Clerical Life."
1857-10-29,1857,10,29,Thursday,"Final part of 'Janet's Repentance' appears in Blackwood's."
1857-10-30,1857,10,30,Friday,"Confirms her acceptance of £120 for the first edition of Scenes."
1857-11-05,1857,11,5,Thursday,"Blackwood sends the first 16 pages of page proofs for the first edition of Scenes."
1857-11-07,1857,11,7,Saturday,"Thanks Blackwood for the proofs, also reporting that Bede 'is in progress - slow progress at present' (Cross 1: 470)."
1857-11-08,1857,11,8,Sunday,"Visited by Chapman and his brother Thomas."
1857-11-15,1857,11,15,Sunday,"Discusses in letter to Charles Bray the content of his Philosophy of Necessity and the desirability of its republication, remarking, 'My own experience and development deepen every day my conviction that our moral progress may be measured by the degree in which we sympathise with individual suffering and individual joy' (Letters 1: 472)."
1857-11-22,1857,11,22,Sunday,"Thirty-eighth birthday. Tells Sara Hennell, 'Anniversaries are sad things - to one who has lived long and done little' (Cross 1: 474). "
